genome	regulator	target
Streptomyces_coelicolor_A32	SCO0605	"SCO0079,SCO0235,SCO0498,SCO0499,SCO0589,SCO0604,SCO0605,SCO0685,SCO0686,SCO0696,SCO0763,SCO0952,SCO0953,SCO1423,SCO1592,SCO1703,SCO1704,SCO1758,SCO1759,SCO2093,SCO2246,SCO2247,SCO2525,SCO2705,SCO2706,SCO2714,SCO2715,SCO2733,SCO2734,SCO2764,SCO2765,SCO2791,SCO3098,SCO3099,SCO3185,SCO3335,SCO3336,SCO3354,SCO3583,SCO3971,SCO4066,SCO4131,SCO4202,SCO4294,SCO4413,SCO4414,SCO4421,SCO4422,SCO4441,SCO4442,SCO4552,SCO4553,SCO4583,SCO4628,SCO4786,SCO4787,SCO4865,SCO4866,SCO4870,SCO4871,SCO4946,SCO4998,SCO4999,SCO5200,SCO5224,SCO5329,SCO5416,SCO5417,SCO5446,SCO5545,SCO5629,SCO5732,SCO5922,SCO6020,SCO6348,SCO6349,SCO6373,SCO6469,SCO6474,SCO6570,SCO6592,SCO6622,SCO6675,SCO6676,SCO6738,SCO6739,SCO6745,SCO6746,SCO7004,SCO7041,SCO7077,SCO7090,SCO7098,SCO7099,SCO7246,SCO7248,SCO7249,SCO7273,SCO7511,SCO7512,SCO7656,SCO7657"
Streptomyces_coelicolor_A32	SCO0610	"SCO0030,SCO0031,SCO0033,SCO0069,SCO0126,SCO0137,SCO0140,SCO0162,SCO0164,SCO0168,SCO0186,SCO0189,SCO0203,SCO0208,SCO0249,SCO0307,SCO0308,SCO0307,SCO0308,SCO0307,SCO0308,SCO0312,SCO0313,SCO0317,SCO0360,SCO0390,SCO0420,SCO0441,SCO0467,SCO0468,SCO0483,SCO0491,SCO0492,SCO0493,SCO0501,SCO0541,SCO0559,SCO0588,SCO0609,SCO0610,SCO0695,SCO0735,SCO0746,SCO0751,SCO0756,SCO0780,SCO0789,SCO0803,SCO0820,SCO0869,SCO0906,SCO0907,SCO0913,SCO0930,SCO0948,SCO0979,SCO0980,SCO1015,SCO1039,SCO1059,SCO1083,SCO1087,SCO1088,SCO1101,SCO1152,SCO1158,SCO1190,SCO1195,SCO1196,SCO1209,SCO1252,SCO1278,SCO1282,SCO1290,SCO1306,SCO1352,SCO1353,SCO1382,SCO1407,SCO1430,SCO1452,SCO1455,SCO1456,SCO1468,SCO1475,SCO1510,SCO1511,SCO1554,SCO1570,SCO1573,SCO1630,SCO1673,SCO1674,SCO1674,SCO1686,SCO1702,SCO1703,SCO1704,SCO1726,SCO1727,SCO1769,SCO1790,SCO1791,SCO1803,SCO1829,SCO1835,SCO1836,SCO1849,SCO1903,SCO1904,SCO1904,SCO1905,SCO1937,SCO1943,SCO1950,SCO1951,SCO1962,SCO1982,SCO2009,SCO2018,SCO2075,SCO2094,SCO2114,SCO2115,SCO2124,SCO2126,SCO2137,SCO2139,SCO2140,SCO2162,SCO2177,SCO2178,SCO2180,SCO2226,SCO2238,SCO2271,SCO2288,SCO2295,SCO2296,SCO2295,SCO2296,SCO2309,SCO2317,SCO2321,SCO2362,SCO2368,SCO2378,SCO2383,SCO2419,SCO2430,SCO2448,SCO2464,SCO2474,SCO2490,SCO2500,SCO2513,SCO2522,SCO2541,SCO2561,SCO2601,SCO2603,SCO2619,SCO2620,SCO2624,SCO2650,SCO2662,SCO2673,SCO2674,SCO2694,SCO2695,SCO2705,SCO2706,SCO2709,SCO2714,SCO2723,SCO2734,SCO2751,SCO2760,SCO2764,SCO2765,SCO2779,SCO2782,SCO2794,SCO2798,SCO2805,SCO2810,SCO2811,SCO2820,SCO2825,SCO2874,SCO2895,SCO2914,SCO2940,SCO2946,SCO2955,SCO2997,SCO2999,SCO3011,SCO3024,SCO3043,SCO3079,SCO3125,SCO3128,SCO3129,SCO3130,SCO3147,SCO3155,SCO3157,SCO3161,SCO3167,SCO3173,SCO3174,SCO3206,SCO3207,SCO3215,SCO3216,SCO3217,SCO3232,SCO3232,SCO3246,SCO3330,SCO3345,SCO3346,SCO3360,SCO3397,SCO3422,SCO3423,SCO3496,SCO3496,SCO3501,SCO3515,SCO3517,SCO3529,SCO3532,SCO3533,SCO3532,SCO3533,SCO3541,SCO3574,SCO3607,SCO3687,SCO3688,SCO3750,SCO3782,SCO3783,SCO3791,SCO3801,SCO3855,SCO3856,SCO3857,SCO3861,SCO3899,SCO3911,SCO3936,SCO3948,SCO3949,SCO3954,SCO3968,SCO3972,SCO3990,SCO4009,SCO4016,SCO4020,SCO4051,SCO4052,SCO4069,SCO4073,SCO4074,SCO4089,SCO4090,SCO4108,SCO4110,SCO4114,SCO4163,SCO4167,SCO4168,SCO4188,SCO4201,SCO4202,SCO4223,SCO4224,SCO4224,SCO4225,SCO4249,SCO4265,SCO4266,SCO4276,SCO4300,SCO4301,SCO4301,SCO4336,SCO4361,SCO4362,SCO4383,SCO4392,SCO4393,SCO4395,SCO4407,SCO4408,SCO4435,SCO4438,SCO4439,SCO4443,SCO4452,SCO4473,SCO4483,SCO4484,SCO4487,SCO4503,SCO4513,SCO4514,SCO4526,SCO4584,SCO4585,SCO4609,SCO4610,SCO4624,SCO4628,SCO4631,SCO4638,SCO4641,SCO4644,SCO4664,SCO4665,SCO4670,SCO4671,SCO4699,SCO4705,SCO4730,SCO4746,SCO4798,SCO4801,SCO4882,SCO4883,SCO4898,SCO4899,SCO4908,SCO4972,SCO4975,SCO5002,SCO5010,SCO5042,SCO5053,SCO5080,SCO5086,SCO5092,SCO5096,SCO5126,SCO5138,SCO5152,SCO5153,SCO5158,SCO5174,SCO5180,SCO5183,SCO5185,SCO5186,SCO5246,SCO5255,SCO5256,SCO5257,SCO5274,SCO5286,SCO5301,SCO5302,SCO5311,SCO5312,SCO5318,SCO5319,SCO5330,SCO5331,SCO5331,SCO5364,SCO5396,SCO5397,SCO5415,SCO5416,SCO5429,SCO5433,SCO5453,SCO5454,SCO5455,SCO5470,SCO5474,SCO5499,SCO5518,SCO5535,SCO5544,SCO5577,SCO5579,SCO5582,SCO5608,SCO5612,SCO5640,SCO5651,SCO5706,SCO5750,SCO5751,SCO5750,SCO5751,SCO5784,SCO5814,SCO5818,SCO5819,SCO5818,SCO5819,SCO5842,SCO5895,SCO5953,SCO5967,SCO5968,SCO5972,SCO5973,SCO5978,SCO5984,SCO5995,SCO6004,SCO6014,SCO6057,SCO6080,SCO6081,SCO6084,SCO6144,SCO6150,SCO6160,SCO6163,SCO6172,SCO6173,SCO6175,SCO6198,SCO6198,SCO6198,SCO6228,SCO6229,SCO6245,SCO6253,SCO6260,SCO6263,SCO6300,SCO6341,SCO6345,SCO6360,SCO6420,SCO6428,SCO6463,SCO6506,SCO6559,SCO6573,SCO6574,SCO6582,SCO6588,SCO6593,SCO6593,SCO6640,SCO6661,SCO6672,SCO6686,SCO6686,SCO6687,SCO6689,SCO6696,SCO6747,SCO6748,SCO6748,SCO6773,SCO6775,SCO6780,SCO6793,SCO6806,SCO6820,SCO6849,SCO6881,SCO6928,SCO6935,SCO6936,SCO6945,SCO6946,SCO6985,SCO6995,SCO7023,SCO7068,SCO7093,SCO7114,SCO7121,SCO7150,SCO7158,SCO7195,SCO7233,SCO7250,SCO7252,SCO7264,SCO7282,SCO7326,SCO7350,SCO7354,SCO7368,SCO7397,SCO7444,SCO7458,SCO7481,SCO7499,SCO7500,SCO7552,SCO7555,SCO7683,SCO7684,SCO7685,SCO7689,SCO7749,SCO7750,SCO7751,SCO7749,SCO7750,SCO7751"
Streptomyces_coelicolor_A32	SCO0622	"SCO0621,SCO0622"
Streptomyces_coelicolor_A32	SCO0629	"SCO0629,SCO0630"
Streptomyces_coelicolor_A32	SCO0640	"SCO0103,SCO0105,SCO0229,SCO0247,SCO0300,SCO0304,SCO0379,SCO0465,SCO0584,SCO0640,SCO0641,SCO0642,SCO0666,SCO0828,SCO0951,SCO0951,SCO0952,SCO0984,SCO0987,SCO1118,SCO1152,SCO1230,SCO1316,SCO1338,SCO1339,SCO1678,SCO1679,SCO1704,SCO1769,SCO1823,SCO1824,SCO1897,SCO1900,SCO1935,SCO1963,SCO2076,SCO2116,SCO2155,SCO2241,SCO2307,SCO2432,SCO2487,SCO2616,SCO2620,SCO2651,SCO2652,SCO2666,SCO2691,SCO2736,SCO2736,SCO2736,SCO2736,SCO2752,SCO2776,SCO2783,SCO2786,SCO2821,SCO2829,SCO2838,SCO2944,SCO2966,SCO2968,SCO2993,SCO3005,SCO3064,SCO3125,SCO3135,SCO3136,SCO3203,SCO3210,SCO3229,SCO3261,SCO3461,SCO3471,SCO3487,SCO3566,SCO3577,SCO3579,SCO3594,SCO3595,SCO3615,SCO3710,SCO3711,SCO3730,SCO3763,SCO3766,SCO3766,SCO3767,SCO3790,SCO3792,SCO3810,SCO3811,SCO3843,SCO3844,SCO3894,SCO3901,SCO3902,SCO4137,SCO4275,SCO4356,SCO4387,SCO4574,SCO4574,SCO4594,SCO4617,SCO4630,SCO4661,SCO4675,SCO4835,SCO4839,SCO4856,SCO4857,SCO4874,SCO4911,SCO4934,SCO4948,SCO5036,SCO5082,SCO5083,SCO5139,SCO5140,SCO5159,SCO5193,SCO5204,SCO5225,SCO5232,SCO5243,SCO5244,SCO5329,SCO5329,SCO5331,SCO5337,SCO5385,SCO5476,SCO5512,SCO5541,SCO5569,SCO5620,SCO5620,SCO5734,SCO5745,SCO5749,SCO5777,SCO5810,SCO5884,SCO5898,SCO6004,SCO6005,SCO6009,SCO6170,SCO6204,SCO6228,SCO6229,SCO6258,SCO6269,SCO6357,SCO6358,SCO6379,SCO6385,SCO6425,SCO6426,SCO6428,SCO6469,SCO6554,SCO6592,SCO6820,SCO6885,SCO6890,SCO6954,SCO6979,SCO7019,SCO7030,SCO7031,SCO7092,SCO7117,SCO7291,SCO7458,SCO7500,SCO7501,SCO7502,SCO7503,SCO7556,SCO7590,SCO7703"
Streptomyces_coelicolor_A32	SCO0646	"SCO0645,SCO0646"
Streptomyces_coelicolor_A32	SCO0659	"SCO0659,SCO0660"
Streptomyces_coelicolor_A32	SCO0669	"SCO0668,SCO0669,SCO1640,SCO1980,SCO3050,SCO4176,SCO5733,SCO5734,SCO6474,SCO6793,SCO7038,SCO7172"
Streptomyces_coelicolor_A32	SCO0711	"SCO0151,SCO0712,SCO0713,SCO2814,SCO2815"
Streptomyces_coelicolor_A32	SCO0724	SCO0724
